gender,ethnicity,parental_education,lunch_program,test_preparation_course,math_score
male,group A,high school,standard,completed,67
female,group D,some high school,free/reduced,none,40
male,group E,some college,free/reduced,none,59
male,group B,high school,standard,none,77
male,group E,associate's degree,standard,completed,78
female,group D,high school,standard,none,63
female,group A,bachelor's degree,standard,none,62
male,group E,some college,standard,completed,93
male,group D,high school,standard,none,63
male,group C,some college,free/reduced,none,47
male,group E,some college,standard,completed,99
female,group D,high school,standard,completed,80
male,group D,associate's degree,standard,completed,77
male,group C,high school,standard,completed,74
male,group E,some high school,standard,completed,81
male,group E,associate's degree,free/reduced,none,69
male,group B,high school,standard,none,58
female,group C,associate's degree,standard,completed,54
female,group C,associate's degree,free/reduced,none,23
male,group C,some college,free/reduced,none,39
female,group C,associate's degree,standard,none,83
male,group C,associate's degree,standard,none,58
male,group B,some college,standard,completed,71
female,group B,some college,free/reduced,none,44
male,group E,some high school,free/reduced,none,46
male,group C,high school,free/reduced,none,51
female,group C,some high school,standard,none,53
male,group E,high school,standard,none,71
female,group B,high school,standard,completed,74
female,group A,some high school,free/reduced,none,33
male,group B,some college,standard,none,87
male,group A,bachelor's degree,free/reduced,none,78
male,group A,some high school,free/reduced,completed,40
female,group B,associate's degree,standard,completed,65
female,group B,bachelor's degree,standard,completed,79
female,group A,bachelor's degree,standard,none,68
female,group C,some college,standard,completed,57
male,group B,high school,free/reduced,none,67
female,group B,some college,free/reduced,completed,58
male,group E,associate's degree,standard,none,98
female,group B,master's degree,free/reduced,none,54
male,group D,high school,standard,none,77
male,group E,high school,standard,completed,87
female,group C,master's degree,standard,none,58
male,group E,high school,standard,none,100
male,group C,bachelor's degree,standard,none,60
male,group C,associate's degree,free/reduced,none,64
female,group E,some high school,standard,completed,65
female,group D,high school,standard,none,68
male,group C,associate's degree,free/reduced,completed,60
male,group D,high school,standard,none,65
female,group C,some high school,free/reduced,none,52
female,group C,associate's degree,standard,none,74
female,group C,high school,free/reduced,none,36
male,group D,high school,free/reduced,none,57
female,group C,some college,standard,completed,56
female,group C,bachelor's degree,standard,completed,67
male,group D,associate's degree,standard,completed,88
female,group D,some college,free/reduced,none,42
male,group E,some high school,standard,none,68
male,group D,some college,free/reduced,none,76
female,group E,some high school,standard,none,58
male,group E,some high school,standard,completed,69
male,group A,bachelor's degree,standard,completed,77
male,group D,master's degree,standard,completed,83
female,group C,some high school,free/reduced,completed,49
male,group C,high school,standard,none,71
female,group D,some high school,free/reduced,none,47
male,group B,high school,standard,none,79
female,group C,high school,standard,none,60
female,group C,associate's degree,standard,completed,56
male,group C,associate's degree,standard,none,57
female,group B,some college,standard,none,49
female,group C,some high school,standard,completed,79
male,group B,master's degree,free/reduced,none,71
female,group C,high school,standard,none,71
female,group C,some college,standard,none,47
female,group D,high school,free/reduced,none,72
male,group C,associate's degree,standard,none,78
male,group D,some high school,standard,none,54
female,group B,bachelor's degree,standard,none,46
female,group D,some high school,free/reduced,none,31
female,group C,associate's degree,free/reduced,none,51
male,group B,high school,standard,completed,78
female,group B,associate's degree,free/reduced,none,32
female,group C,some high school,standard,none,53
female,group C,some college,free/reduced,none,63
male,group D,some college,standard,none,97
female,group D,some college,standard,none,56
male,group B,high school,standard,none,72
male,group C,some college,free/reduced,none,57
male,group B,some high school,standard,none,74
female,group D,master's degree,standard,none,81
male,group D,bachelor's degree,standard,completed,94
male,group B,master's degree,free/reduced,none,81
female,group C,high school,standard,completed,58
female,group E,associate's degree,standard,completed,95
male,group B,high school,free/reduced,none,45
male,group A,some college,standard,none,63
male,group B,associate's degree,standard,none,60
male,group C,some college,free/reduced,completed,54
male,group C,some college,standard,completed,75
male,group E,high school,standard,none,79
male,group D,high school,standard,none,66
female,group B,some college,standard,none,47
female,group D,bachelor's degree,standard,none,70
male,group D,high school,standard,none,82
male,group A,bachelor's degree,standard,none,56
male,group B,associate's degree,standard,none,92
male,group C,some college,free/reduced,none,30
female,group C,some college,standard,completed,79
female,group D,some high school,standard,none,41
female,group C,master's degree,standard,none,63
male,group A,bachelor's degree,free/reduced,none,43
male,group D,high school,standard,none,77
male,group B,associate's degree,standard,completed,76
female,group E,some college,free/reduced,none,49
male,group C,associate's degree,standard,completed,59
male,group B,bachelor's degree,free/reduced,none,59
female,group D,some high school,standard,completed,76
female,group C,high school,standard,completed,55
female,group D,bachelor's degree,standard,completed,78
female,group C,bachelor's degree,standard,completed,51
female,group C,some high school,standard,completed,41
female,group D,associate's degree,standard,none,74
male,group C,master's degree,standard,none,62
male,group D,associate's degree,standard,none,77
male,group C,some high school,standard,none,45
male,group E,some college,standard,completed,100
female,group D,associate's degree,free/reduced,completed,83
female,group E,associate's degree,free/reduced,completed,77
male,group C,high school,standard,completed,66
male,group B,some college,standard,none,65
male,group D,associate's degree,standard,none,62
male,group E,some college,standard,none,55
male,group C,some high school,free/reduced,none,73
male,group A,some college,standard,completed,73
female,group B,associate's degree,standard,completed,48
male,group D,some college,free/reduced,none,52
female,group C,some high school,free/reduced,none,60
male,group B,associate's degree,free/reduced,none,68
female,group D,some college,free/reduced,none,65
female,group D,bachelor's degree,standard,none,86
female,group B,associate's degree,standard,none,55
male,group B,master's degree,standard,completed,80
female,group B,high school,free/reduced,none,51
female,group B,some high school,standard,completed,63
male,group E,some college,standard,none,60
female,group E,bachelor's degree,standard,completed,100
male,group A,associate's degree,free/reduced,none,46
female,group C,some college,standard,completed,67
female,group C,high school,free/reduced,none,54
female,group B,associate's degree,standard,none,63
male,group D,bachelor's degree,standard,none,68
female,group C,associate's degree,free/reduced,none,54
female,group C,some college,standard,none,43
male,group B,high school,free/reduced,none,64
female,group E,associate's degree,free/reduced,none,92
female,group D,associate's degree,free/reduced,none,82
male,group E,some high school,free/reduced,none,84
female,group D,associate's degree,standard,completed,84
male,group D,associate's degree,free/reduced,none,65
female,group C,bachelor's degree,standard,none,83
female,group B,some high school,standard,completed,70
male,group A,bachelor's degree,standard,completed,66
female,group D,bachelor's degree,standard,completed,71
male,group B,bachelor's degree,standard,none,66
female,group B,some high school,standard,completed,57
female,group C,master's degree,standard,none,86
female,group A,high school,standard,none,80
female,group B,high school,standard,none,62
female,group D,some college,standard,none,71
female,group C,some college,free/reduced,completed,57
male,group A,some high school,free/reduced,completed,69
male,group B,some college,standard,completed,83
female,group D,some college,free/reduced,none,50
female,group C,bachelor's degree,standard,none,55
male,group B,some high school,free/reduced,none,55
female,group D,some college,free/reduced,completed,83
male,group D,high school,standard,completed,89
female,group D,some high school,standard,none,51
female,group C,some college,standard,none,48
female,group E,bachelor's degree,standard,none,84
female,group C,associate's degree,standard,none,69
female,group C,associate's degree,standard,completed,75
female,group C,master's degree,standard,none,91
male,group B,high school,standard,none,76
male,group E,some high school,free/reduced,none,63
male,group D,high school,standard,none,73
male,group B,some high school,free/reduced,completed,52
male,group B,some high school,standard,completed,58
female,group B,some high school,standard,none,33
male,group E,some high school,free/reduced,none,68
female,group C,associate's degree,standard,completed,77
female,group C,bachelor's degree,standard,none,64
female,group D,some high school,free/reduced,none,39
male,group D,bachelor's degree,standard,none,50
male,group A,master's degree,free/reduced,none,53
female,group B,associate's degree,standard,completed,54
male,group D,high school,standard,none,74
female,group D,associate's degree,standard,completed,50
male,group E,associate's degree,standard,none,55
